dma,2015+diarrhea,2015+obesity,2015+diabetes,2015+cancer,2015+depression
Portland-Auburn ME,68,48,73,67,70
New York NY,56,46,63,64,55
Binghamton NY,84,67,75,64,69
Macon GA,71,60,73,66,68
Philadelphia PA,67,56,72,71,63
Detroit MI,69,46,65,67,61
Boston MA-Manchester NH,62,58,71,69,64
Savannah GA,67,69,67,68,64
Pittsburgh PA,73,54,72,73,67
Ft. Wayne IN,71,64,78,66,81
Cleveland-Akron (Canton) OH,69,59,71,69,64
Washington DC (Hagerstown MD),56,47,62,60,50
Baltimore MD,64,74,80,71,61
Flint-Saginaw-Bay City MI,73,64,70,69,77
Buffalo NY,72,55,74,72,66
Cincinnati OH,72,54,73,68,65
Erie PA,80,63,70,68,77
Charlotte NC,65,52,65,63,58
Greensboro-High Point-Winston Salem NC,64,68,75,66,63
Charleston SC,68,66,74,70,61
Augusta GA,76,31,61,61,56
Providence RI-New Bedford MA,66,59,68,65,65
Columbus GA,74,70,74,66,68
Burlington VT-Plattsburgh NY,66,66,67,65,70
Atlanta GA,63,45,64,65,54
Albany GA,67,65,82,69,66
Utica NY,77,77,75,73,86
Indianapolis IN,65,68,82,68,71
Miami-Ft. Lauderdale FL,51,46,61,62,46
Louisville KY,76,53,81,69,65
Tallahassee FL-Thomasville GA,58,79,77,65,68
Tri-Cities TN-VA,89,60,85,78,70
Albany-Schenectady-Troy NY,71,57,70,68,69
Hartford & New Haven CT,63,65,74,74,69
Orlando-Daytona Beach-Melbourne FL,65,40,67,66,49
Columbus OH,67,55,71,69,65
Youngstown OH,79,65,77,72,68
Bangor ME,66,65,84,71,79
Rochester NY,71,65,72,72,67
Tampa-St. Petersburg (Sarasota) FL,68,49,68,72,53
Traverse City-Cadillac MI,70,57,69,64,76
Lexington KY,87,80,79,73,72
Dayton OH,74,56,73,68,64
Springfield-Holyoke MA,63,81,75,67,78
Norfolk-Portsmouth-Newport News VA,67,56,73,64,61
Greenville-New Bern-Washington NC,75,53,72,64,62
Columbia SC,64,79,83,68,70
Toledo OH,75,60,77,69,72
West Palm Beach-Ft. Pierce FL,57,48,71,71,54
Watertown NY,71,48,70,61,65
Wilmington NC,63,60,64,68,67
Lansing MI,65,80,73,64,68
Presque Isle ME,94,98,82,81,88
Marquette MI,70,61,77,63,79
Wheeling WV-Steubenville OH,76,60,79,74,75
Syracuse NY,69,73,74,69,71
Richmond-Petersburg VA,60,63,79,66,66
Knoxville TN,79,54,75,70,69
Lima OH,82,52,83,70,76
Bluefield-Beckley-Oak Hill WV,100,65,89,76,83
Raleigh-Durham (Fayetteville) NC,63,69,75,67,61
Jacksonville FL,61,59,75,65,57
Grand Rapids-Kalamazoo-Battle Creek MI,67,61,70,65,74
Charleston-Huntington WV,92,54,84,78,84
Elmira NY,84,60,72,64,69
