keys,Province,City,Brand
us/ny/massena/324mainst/-1161002137,NY,Massena,McDonald's
us/oh/washingtoncourthouse/530clintonave/-791445730,OH,Washington Court House,Wendy's
us/ky/maysville/408marketsquaredr/1051460804,KY,Maysville,Frisch's Big Boy
us/ny/massena/6098statehighway37/-1161002137,NY,Massena,McDonald's
us/oh/athens/139columbusrd/990890980,OH,Athens,OMG! Rotisserie
us/oh/hamilton/4182tonyatrl/-1055723171,OH,Hamilton,Domino's Pizza
us/oh/englewood/590smainst/-1055723171,OH,Englewood,Domino's Pizza
us/sc/saluda/401njenningsst/-1161002137,SC,Saluda,McDonald's
us/sc/batesburg/205wchurchst/-791445730,SC,Batesburg,Wendy's
us/ar/paragould/2711wkingshighwayste18/-66712705,AR,Paragould,Pizza Hut
us/ar/sheridan/613wcenterst/1780593795,AR,Sheridan,SONIC Drive In
us/ar/monticello/512highway425slotb/-1055723171,AR,Monticello,Domino's Pizza
us/ok/oklahomacity/1535nw50thst/-1161002137,OK,Oklahoma City,McDonald's
us/ky/lexington/125townecenterdr/-1055723171,KY,Lexington,Domino's Pizza
us/in/tellcity/6614thst/1516016543,IN,Tell City,Long John Silver's
us/ky/louisville/301universityblvd/-1161002137,KY,Louisville,McDonald's
us/ok/oklahomacity/5812nwexpressway/-1161002137,OK,Oklahoma City,McDonald's
us/nc/leland/101thomasgarstln/-864103396,NC,Leland,Taco Bell
us/nc/leland/1111newpointeblvd/-1161002137,NC,Leland,McDonald's
us/tn/brentwood/782oldhickoryblvdste120/-722952174,TN,Brentwood,Qdoba Mexican Grill
us/nc/leland/108villagerdne/-1161002137,NC,Leland,McDonald's
us/ky/hardinsburg/1116oldhighway60/-1161002137,KY,Hardinsburg,McDonald's
us/tx/wichitafalls/1423southwestpkwy/-1161002137,TX,Wichita Falls,McDonald's
us/tx/southpadreisland/908padreblvd/-1161002137,TX,South Padre Island,McDonald's
us/ok/miami/1131nnmainst/-1161002137,OK,Miami,McDonald's
us/la/pineville/3401hwy165north/-66712705,LA,Pineville,Pizza Hut
us/la/bastrop/1631emadisonave/1780593795,LA,Bastrop,Sonic Drive-In
us/ok/claremore/301slynnriggsblvd/-1055723171,OK,Claremore,Domino's Pizza
us/oh/minerva/601elincolnway/-1161002137,OH,Minerva,McDonald's
us/ks/leavenworth/3211s4thst/1780593795,KS,Leavenworth,SONIC Drive In
us/nd/jamestown/105businessloopw/-864103396,ND,Jamestown,Taco Bell
us/nd/fargo/1531universitydrs/-1055723171,ND,Fargo,Domino's Pizza
us/nd/jamestown/71810thstse/-1009719089,ND,Jamestown,Taco John's
us/nd/minot/140024thavesw/-1161002137,ND,Minot,McDonald's
us/tx/woodville/703smagnoliast/1832448210,TX,Woodville,Whataburger
us/nd/minot/1535sbroadway/-66712705,ND,Minot,Pizza Hut
us/ut/smithfield/775smainst/-1055723171,UT,Smithfield,Domino's Pizza
us/ok/ada/218wmainst/-1173852384,OK,Ada,Hamburger King
us/ok/brokenarrow/3208selmpl/1780593795,OK,Broken Arrow,SONIC Drive In
us/ok/norman/3056classenblvdunita/-1055723171,OK,Norman,Domino's Pizza
us/ga/warnerrobins/982maconst/-2061630068,GA,Warner Robins,Burger King
us/nm/albuquerque/6060sanmateoblvdne/-2061630068,NM,Albuquerque,Burger King
us/tx/elpaso/8401gatewayblvdwstem4/-1161002137,TX,El Paso,McDonalds
us/ok/shawnee/450nharrisonave/1780593795,OK,Shawnee,SONIC Drive In
us/or/portland/9455swbarburblvd/-863563290,OR,Portland,Taco Time
us/ky/ashland/351riverhilldr/-1161002137,KY,Ashland,McDonald's
us/oh/cleveland/18000bagleyrd/-2061630068,OH,Cleveland,Burger King
us/in/evansville/3700n1stave/-1161002137,IN,Evansville,McDonald's
us/tx/waxahachie/895nhighway77ste300/-1947870258,TX,Waxahachie,Jimmy John's
us/ok/oklahomacity/819sw19thst/-1055723171,OK,Oklahoma City,Domino's Pizza
us/hi/mililani/951249meheulaparkway/-1123076480,HI,Mililani,Jersey Mike's Subs
us/in/jeffersonville/1625veteranspkwy/-624847056,IN,Jeffersonville,Popeyes Louisiana Kitchen
us/ky/louisville/2730shurstbournepkwysuite100/-722952174,KY,Louisville,Qdoba Mexican Grill
us/or/salem/5680commercialstseste100/-1055723171,OR,Salem,Domino's Pizza
us/tx/sanantonio/2870wloop1604s/1832448210,TX,San Antonio,Whataburger
us/ky/louisville/1321herrlnste150/-722952174,KY,Louisville,Qdoba Mexican Grill
us/vt/bennington/100northsidedr/-864103396,VT,Bennington,Taco Bell
us/tx/austin/6611smopacexpysteb/1832448210,TX,Austin,Whataburger
us/tx/austin/9300sinterstate35bldgh/1832448210,TX,Austin,Whataburger
us/mi/ironmountain/315nstephensonave/696490760,MI,Iron Mountain,Hardee's
us/nc/hickory/2439springsrdne/-1161002137,NC,Hickory,McDonald's
us/mo/saintlouis/9651naturalbridgerd/-938337463,MO,Saint Louis,Rally's
us/la/mandeville/1665doveparkrdste300/659024989,LA,Mandeville,Quiznos
us/ny/auburn/225grantave/-2061630068,NY,Auburn,Burger King
us/tx/richmond/5400fm1640rdste500/1832448210,TX,Richmond,Whataburger
us/wi/greenbay/2448universityave/-1055723171,WI,Green Bay,Domino's Pizza
us/ar/maumelle/111commonsdr/1780593795,AR,Maumelle,SONIC Drive In
us/mo/sullivan/344sservicerde/-864103396,MO,Sullivan,Taco Bell
us/tn/memphis/6490memphisarlingtonrdste103/-1055723171,TN,Memphis,Domino's Pizza
us/wa/yakima/2124s1stst/-864103396,WA,Yakima,Taco Bell
us/mo/branson/482bransonlandingblvdste105/-1947870258,MO,Branson,Jimmy John's
us/ar/springdale/406sthompsonst/-864103396,AR,Springdale,Taco Bell
us/tn/lavergne/5094murfreesborordste1/-1055723171,TN,La Vergne,Domino's Pizza
us/la/brusly/801svaughndr/-1161002137,LA,Brusly,McDonald's
us/nc/fayetteville/5100nchighway87sste102/-1055723171,NC,Fayetteville,Domino's Pizza
us/ny/bronx/opcity/-2061630068,NY,Bronx,Burger King
us/ga/dalton/3898clevelandhwy/-1161002137,GA,Dalton,McDonalds
us/or/westlinn/1865blankenshiprd/-230519289,OR,West Linn,Jack in the Box
us/ut/brighamcity/825w1100s/1780593795,UT,Brigham City,Sonic Drive-In
us/ut/brighamcity/955smainst/-864103396,UT,Brigham City,Taco Bell
us/ut/brighamcity/875w1150s/-891525969,UT,Brigham City,Subway
us/in/chesterton/524indianboundaryrd/-1947870258,IN,Chesterton,Jimmy John's
us/tn/martin/801universityst/-1161002137,TN,Martin,McDonald's
us/wi/lacrosse/2505staterd/696490760,WI,La Crosse,Hardee's
us/tn/memphis/1610sycamoreviewrd/-1161002137,TN,Memphis,McDonald's
us/wi/lacrosse/2437georgest/-1161002137,WI,La Crosse,McDonald's
us/wi/marshfield/813ncentralave/-1009719089,WI,Marshfield,Taco John's
us/wi/marshfield/1101ncentralave/-1161002137,WI,Marshfield,McDonald's
us/oh/cleveland/4601northfieldrd/-1065909473,OH,Cleveland,Mr Hero
us/wa/yakima/1601wlincolnave/-1161002137,WA,Yakima,McDonald's
us/ut/westjordan/5706w7800s/-1161002137,UT,West Jordan,McDonald's
us/ms/indianola/1014highway82e/-864103396,MS,Indianola,Taco Bell
us/ks/fortriley/640huebnerrd/-1055723171,KS,Fort Riley,Domino's Pizza
us/ut/saintgeorge/1418wsunsetblvd/-864103396,UT,Saint George,Taco Bell
us/ut/saintgeorge/610esaintgeorgeblvd/-864103396,UT,Saint George,Taco Bell
us/ks/lawrence/4651w6thst/-66712705,KS,Lawrence,Pizza Hut
us/ne/lincoln/5540oldcheneyrd/1491689988,NE,Lincoln,Amigos/Kings Classic
us/ks/overlandpark/7501w135thst/1876747914,KS,Overland Park,Raising Cane's Chicken Fingers
us/oh/sandusky/4204milanrd/-1161002137,OH,Sandusky,McDonalds
us/tx/lamarque/6300gulffwy/1832448210,TX,La Marque,Whataburger
us/tx/rockport/1302highway35n/-1161002137,TX,Rockport,McDonald's
us/oh/cincinnati/3515springdalerd/-1055723171,OH,Cincinnati,Domino's Pizza
us/oh/cincinnati/7720laurelave/-1055723171,OH,Cincinnati,Domino's Pizza
us/tx/newbraunfels/123creeksidexing/1832448210,TX,New Braunfels,Whataburger
us/me/windham/793roosevelttrl/-2061630068,ME,Windham,Burger King
us/wa/spokane/14700eindianaave/-863563290,WA,Spokane,Taco Time
us/mo/jeffersoncity/201commercedr/1780593795,MO,Jefferson City,SONIC Drive In
us/mo/jeffersoncity/3124stenmiledr/-1161002137,MO,Jefferson City,McDonald's
us/ms/oxford/1417jacksonavew/-1720598652,MS,Oxford,Coop DeVille
us/ne/sidney/2984uplandpkwy/-1161002137,NE,Sidney,McDonalds
us/ne/auburn/1002jst/1491689988,NE,Auburn,Amigos/Kings Classic
us/ny/gardencity/1917thst/93683743,NY,Garden City,B. Good
us/ky/shepherdsville/544conestogapkwy/-1055723171,KY,Shepherdsville,Domino's Pizza
us/ky/glasgow/101smithrd/-1161002137,KY,Glasgow,McDonald's
us/la/alexandria/5212jacksonst/1780593795,LA,Alexandria,Sonic Drive-In
us/ky/somerset/131shighway27/-1161002137,KY,Somerset,McDonald's
us/nm/albuquerque/1511cgoffblvdswplazarioshpgctr/-1055723171,NM,Albuquerque,Domino's Pizza
us/ky/owensboro/4800fredericast/-1161002137,KY,Owensboro,McDonald's
us/la/kenner/300wesplanadeave/-2061630068,LA,Kenner,Burger King
