dma,2015+diarrhea,2015+obesity,2015+diabetes,2015+cancer,2015+depression,2016+diarrhea,2016+obesity,2016+diabetes,2016+cancer,2016+depression,2017+diarrhea,2017+obesity,2017+diabetes,2017+cancer,2017+depression
Portland-Auburn ME,68,48,73,67,70,69,49,81,69,64,66,47,80,70,64
New York NY,56,46,63,64,55,57,49,77,68,53,56,52,78,70,56
Binghamton NY,84,67,75,64,69,79,70,74,74,66,78,61,72,68,69
Macon GA,71,60,73,66,68,66,51,78,63,56,53,41,66,53,46
Philadelphia PA,67,56,72,71,63,70,52,80,74,59,69,56,78,75,62
Detroit MI,69,46,65,67,61,71,43,73,66,58,70,45,74,69,61
Boston MA-Manchester NH,62,58,71,69,64,63,53,76,68,57,58,58,74,70,62
Savannah GA,67,69,67,68,64,71,46,70,65,57,70,44,74,63,60
Pittsburgh PA,73,54,72,73,67,78,50,79,74,62,79,52,79,73,65
Ft. Wayne IN,71,64,78,66,81,77,55,84,64,64,73,49,81,66,69
Cleveland-Akron (Canton) OH,69,59,71,69,64,76,48,77,69,61,73,51,75,70,64
Washington DC (Hagerstown MD),56,47,62,60,50,59,53,77,63,52,55,59,73,63,54
Baltimore MD,64,74,80,71,61,67,61,86,71,59,66,67,85,68,60
Flint-Saginaw-Bay City MI,73,64,70,69,77,80,57,77,70,65,76,63,76,69,72
Buffalo NY,72,55,74,72,66,76,50,78,71,61,74,52,76,72,66
Cincinnati OH,72,54,73,68,65,73,46,76,66,57,74,49,74,65,62
Erie PA,80,63,70,68,77,78,46,80,74,70,75,57,83,69,72
Charlotte NC,65,52,65,63,58,67,45,72,63,54,65,47,71,61,56
Greensboro-High Point-Winston Salem NC,64,68,75,66,63,66,59,80,66,58,69,52,80,68,60
Charleston SC,68,66,74,70,61,74,47,76,66,58,69,45,75,67,58
Augusta GA,76,31,61,61,56,74,55,79,66,57,69,61,79,68,61
Providence RI-New Bedford MA,66,59,68,65,65,69,55,77,69,62,68,48,74,65,63
Columbus GA,74,70,74,66,68,72,68,80,69,60,68,62,83,65,61
Burlington VT-Plattsburgh NY,66,66,67,65,70,70,68,72,66,67,68,59,68,68,72
Atlanta GA,63,45,64,65,54,68,43,73,66,52,65,48,72,64,54
Albany GA,67,65,82,69,66,68,56,79,63,59,73,47,81,63,62
Utica NY,77,77,75,73,86,74,64,83,73,68,81,58,80,68,66
Indianapolis IN,65,68,82,68,71,72,54,85,68,62,74,58,82,69,66
Miami-Ft. Lauderdale FL,51,46,61,62,46,51,43,70,62,44,46,49,70,61,45
Louisville KY,76,53,81,69,65,80,46,84,70,60,77,52,82,72,61
Tallahassee FL-Thomasville GA,58,79,77,65,68,68,60,83,66,67,68,54,80,63,60
Tri-Cities TN-VA,89,60,85,78,70,88,51,84,76,67,89,50,84,75,67
Albany-Schenectady-Troy NY,71,57,70,68,69,75,45,73,71,61,72,48,74,67,65
Hartford & New Haven CT,63,65,74,74,69,66,58,80,73,63,65,62,84,72,65
Orlando-Daytona Beach-Melbourne FL,65,40,67,66,49,64,42,72,62,51,65,41,73,63,51
Columbus OH,67,55,71,69,65,74,50,76,69,59,76,49,76,69,61
Youngstown OH,79,65,77,72,68,90,46,73,72,68,84,45,80,73,71
Bangor ME,66,65,84,71,79,77,53,92,72,65,67,78,87,70,72
Rochester NY,71,65,72,72,67,68,52,74,70,58,72,58,72,69,61
Tampa-St. Petersburg (Sarasota) FL,68,49,68,72,53,64,41,72,72,55,69,45,77,73,53
Traverse City-Cadillac MI,70,57,69,64,76,74,52,69,66,65,75,48,68,69,66
Lexington KY,87,80,79,73,72,90,66,87,74,66,91,67,87,73,69
Dayton OH,74,56,73,68,64,76,44,83,66,60,80,49,83,65,63
Springfield-Holyoke MA,63,81,75,67,78,70,73,78,71,70,72,72,75,70,73
Norfolk-Portsmouth-Newport News VA,67,56,73,64,61,69,49,78,64,56,69,52,80,64,59
Greenville-New Bern-Washington NC,75,53,72,64,62,74,58,78,65,60,74,58,78,64,62
Columbia SC,64,79,83,68,70,69,75,83,66,66,69,73,83,63,69
Toledo OH,75,60,77,69,72,76,54,80,67,67,80,57,81,68,71
West Palm Beach-Ft. Pierce FL,57,48,71,71,54,61,47,73,70,51,65,49,74,70,54
Watertown NY,71,48,70,61,65,77,61,76,70,69,87,46,75,70,70
Wilmington NC,63,60,64,68,67,67,51,74,64,61,67,54,75,70,58
Lansing MI,65,80,73,64,68,68,55,76,63,66,69,63,78,62,71
Presque Isle ME,94,98,82,81,88,69,91,78,74,100,75,58,77,81,100
Marquette MI,70,61,77,63,79,74,51,75,64,73,75,43,67,69,68
Wheeling WV-Steubenville OH,76,60,79,74,75,100,53,76,76,63,100,43,85,72,73
Syracuse NY,69,73,74,69,71,72,74,80,68,67,72,62,82,69,62
Richmond-Petersburg VA,60,63,79,66,66,68,57,84,67,62,63,56,82,66,67
Knoxville TN,79,54,75,70,69,84,41,73,67,58,85,41,74,67,60
Lima OH,82,52,83,70,76,76,49,72,69,65,94,37,73,70,74
Bluefield-Beckley-Oak Hill WV,100,65,89,76,83,97,57,80,78,74,90,61,79,84,82
Raleigh-Durham (Fayetteville) NC,63,69,75,67,61,62,58,78,64,58,65,58,79,65,61
Jacksonville FL,61,59,75,65,57,72,43,78,65,55,70,47,76,65,55
Grand Rapids-Kalamazoo-Battle Creek MI,67,61,70,65,74,71,48,70,64,64,72,51,72,63,69
Charleston-Huntington WV,92,54,84,78,84,87,54,89,80,70,94,58,92,81,74
Elmira NY,84,60,72,64,69,87,49,83,69,67,83,43,68,65,72
Harrisburg-Lancaster-Lebanon-York PA,76,59,73,69,68,77,47,76,69,64,77,45,73,67,65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,70,55,69,68,66,72,44,76,68,60,72,48,73,66,63
Harrisonburg VA,69,73,71,61,66,78,71,80,67,71,69,69,74,67,71
Florence-Myrtle Beach SC,69,26,61,61,54,65,42,71,63,55,69,42,73,61,58
Ft. Myers-Naples FL,68,43,64,76,52,63,37,72,75,48,64,42,71,76,50
Roanoke-Lynchburg VA,13,17,28,22,15,78,54,83,66,63,76,62,80,66,66
